Temp,Mavg,UBinder,Susc,Cv
2,0.001130,0.652283,0.000438,0.706795
5,0.000749,0.595510,0.000404,0.721321
10,0.000373,0.445532,0.000157,0.709296
50,0.001017,0.484349,0.000204,0.537050
100,0.001091,0.450856,0.000130,0.425501
150,0.001307,0.431014,0.000134,0.427016
200,0.001520,0.445906,0.000129,0.428251
250,0.001692,0.456053,0.000127,0.458719
300,0.001842,0.461996,0.000120,0.475327
400,0.002092,0.448233,0.000124,0.668924
500,0.002304,0.438074,0.000123,0.290293
600,0.002426,0.453426,0.000107,0.165133
700,0.002500,0.444707,0.000099,0.119127
